change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,3,6.0,Log In,Messenger,0.41,+ Messenger - Log - In
modified/added,6,6.0,Mobile,Messenger,0.506,- Mobile + Messenger
modified/added,7,7.0,Find Friends,Facebook Lite,0.36,- Find - Friends + Facebook + Lite
modified/added,8,6.0,Badges,Messenger,0.294,- Badges + Messenger
modified/added,9,8.0,People,Place,0.383,- People + Place
modified/added,10,7.0,Pages,Facebook Lite,0.32,- Pages + Facebook + Lite
modified/added,11,8.0,Places,Place,0.82,"- Places ?      -
 + Place"
modified/added,12,8.0,Games,Place,0.396,- Games + Place
modified/added,13,8.0,Locations,Place,0.722,- Locations + Place
modified/added,14,9.0,Celebrities,Celebryty,0.52,- Celebrities + Celebryty
modified/added,15,6.0,Groups,Messenger,0.347,- Groups + Messenger
modified/added,17,8.0,About,Place,0.341,- About + Place
modified/added,18,11.0,Create Advert,Instagram,0.252,+ Instagram - Create - Advert
modified/added,19,7.0,Create Page,Facebook Lite,0.181,- Create - Page + Facebook + Lite
modified/added,20,6.0,Developers,Messenger,0.329,- Developers + Messenger
modified/added,21,8.0,Careers,Place,0.354,- Careers + Place
modified/added,22,11.0,Privacy,Instagram,0.396,- Privacy + Instagram
modified/added,23,12.0,Cookies,Cookies Facebook ©2017,0.73,  Cookies + Facebook + ©2017
modified/added,24,9.0,AdChoices,Celebryty,0.172,- AdChoices + Celebryty
modified/added,25,10.0,Terms,Moments,0.342,- Terms + Moments
modified/added,26,8.0,Help,Place,0.345,- Help + Place
modified/added,27,4.0,Settings,Controlling What You See,0.394,- Settings + Controlling + What + You + See
modified/added,28,12.0,Activity Log Facebook Â© 2016,Cookies Facebook ©2017,0.558,+ Cookies - Activity - Log   Facebook + ©2017 - Â© - 2016
deleted,3,,Log In,,0.41,
deleted,6,,Mobile,,0.506,
deleted,7,,Find Friends,,0.36,
deleted,8,,Badges,,0.294,
deleted,9,,People,,0.383,
deleted,10,,Pages,,0.32,
deleted,11,,Places,,0.82,
deleted,12,,Games,,0.396,
deleted,13,,Locations,,0.722,
deleted,14,,Celebrities,,0.52,
deleted,15,,Groups,,0.347,
deleted,17,,About,,0.341,
deleted,18,,Create Advert,,0.252,
deleted,19,,Create Page,,0.181,
deleted,20,,Developers,,0.329,
deleted,21,,Careers,,0.354,
deleted,22,,Privacy,,0.396,
deleted,23,,Cookies,,0.73,
deleted,24,,AdChoices,,0.172,
deleted,25,,Terms,,0.342,
deleted,26,,Help,,0.345,
deleted,27,,Settings,,0.394,
deleted,28,,Activity Log Facebook Â© 2016,,0.558,
