,capture_20110127_224041,capture_20120307_061623,capture_20120830_210605,capture_20121120_162304,capture_20121215_025058,capture_20130825_113648,capture_20131120_075022,capture_20140709_164833,capture_20140805_123005,capture_20150409_195319,capture_20150509_063556,capture_20160303_231108,capture_20161004_095041,capture_20161118_195212,capture_20161121_231709,capture_20170118_070636,capture_20170825_154149,capture_20171130_164500,capture_20200530_194846,capture_20201127_095304,capture_20210908_123556,capture_20220306_064344,capture_20231116_183638,capture_20240529_041941,capture_20250128_030256
capture_20110127_224041,1.0,0.865,0.865,0.866,0.866,0.866,0.866,0.866,0.866,0.812,0.812,0.812,0.814,0.769,0.808,0.769,0.826,0.812,0.788,0.797,0.647,0.632,0.64,0.643,0.597
capture_20120307_061623,0.865,1.0,1.0,0.983,0.983,0.983,0.983,0.983,0.983,0.765,0.754,0.765,0.734,0.686,0.763,0.74,0.756,0.731,0.677,0.696,0.609,0.574,0.59,0.572,0.52
capture_20120830_210605,0.865,1.0,1.0,0.983,0.983,0.983,0.983,0.983,0.983,0.765,0.754,0.765,0.734,0.686,0.763,0.74,0.756,0.731,0.677,0.696,0.609,0.574,0.59,0.572,0.52
capture_20121120_162304,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20121215_025058,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20130825_113648,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20131120_075022,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20140709_164833,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20140805_123005,0.866,0.983,0.983,1.0,1.0,1.0,1.0,1.0,1.0,0.787,0.775,0.787,0.752,0.708,0.784,0.754,0.772,0.745,0.681,0.699,0.629,0.595,0.613,0.592,0.541
capture_20150409_195319,0.812,0.765,0.765,0.787,0.787,0.787,0.787,0.787,0.787,1.0,0.996,1.0,0.955,0.82,0.989,0.9,0.95,0.944,0.782,0.793,0.734,0.718,0.7,0.682,0.626
capture_20150509_063556,0.812,0.754,0.754,0.775,0.775,0.775,0.775,0.775,0.775,0.996,1.0,0.996,0.962,0.827,0.985,0.9,0.954,0.954,0.798,0.808,0.731,0.714,0.69,0.674,0.621
capture_20160303_231108,0.812,0.765,0.765,0.787,0.787,0.787,0.787,0.787,0.787,1.0,0.996,1.0,0.955,0.82,0.989,0.9,0.95,0.944,0.782,0.793,0.734,0.718,0.7,0.682,0.626
capture_20161004_095041,0.814,0.734,0.734,0.752,0.752,0.752,0.752,0.752,0.752,0.955,0.962,0.955,1.0,0.854,0.957,0.908,0.972,0.974,0.798,0.81,0.727,0.708,0.682,0.666,0.603
capture_20161118_195212,0.769,0.686,0.686,0.708,0.708,0.708,0.708,0.708,0.708,0.82,0.827,0.82,0.854,1.0,0.823,0.819,0.842,0.836,0.739,0.746,0.656,0.63,0.63,0.62,0.53
capture_20161121_231709,0.808,0.763,0.763,0.784,0.784,0.784,0.784,0.784,0.784,0.989,0.985,0.989,0.957,0.823,1.0,0.904,0.949,0.942,0.774,0.786,0.737,0.726,0.709,0.692,0.631
capture_20170118_070636,0.769,0.74,0.74,0.754,0.754,0.754,0.754,0.754,0.754,0.9,0.9,0.9,0.908,0.819,0.904,1.0,0.887,0.888,0.693,0.713,0.667,0.657,0.657,0.637,0.569
capture_20170825_154149,0.826,0.756,0.756,0.772,0.772,0.772,0.772,0.772,0.772,0.95,0.954,0.95,0.972,0.842,0.949,0.887,1.0,0.97,0.845,0.855,0.73,0.715,0.687,0.674,0.613
capture_20171130_164500,0.812,0.731,0.731,0.745,0.745,0.745,0.745,0.745,0.745,0.944,0.954,0.944,0.974,0.836,0.942,0.888,0.97,1.0,0.83,0.838,0.719,0.699,0.66,0.66,0.619
capture_20200530_194846,0.788,0.677,0.677,0.681,0.681,0.681,0.681,0.681,0.681,0.782,0.798,0.782,0.798,0.739,0.774,0.693,0.845,0.83,1.0,0.996,0.665,0.665,0.618,0.627,0.601
capture_20201127_095304,0.797,0.696,0.696,0.699,0.699,0.699,0.699,0.699,0.699,0.793,0.808,0.793,0.81,0.746,0.786,0.713,0.855,0.838,0.996,1.0,0.671,0.674,0.635,0.642,0.609
capture_20210908_123556,0.647,0.609,0.609,0.629,0.629,0.629,0.629,0.629,0.629,0.734,0.731,0.734,0.727,0.656,0.737,0.667,0.73,0.719,0.665,0.671,1.0,0.946,0.846,0.843,0.798
capture_20220306_064344,0.632,0.574,0.574,0.595,0.595,0.595,0.595,0.595,0.595,0.718,0.714,0.718,0.708,0.63,0.726,0.657,0.715,0.699,0.665,0.674,0.946,1.0,0.856,0.848,0.802
capture_20231116_183638,0.64,0.59,0.59,0.613,0.613,0.613,0.613,0.613,0.613,0.7,0.69,0.7,0.682,0.63,0.709,0.657,0.687,0.66,0.618,0.635,0.846,0.856,1.0,0.955,0.888
capture_20240529_041941,0.643,0.572,0.572,0.592,0.592,0.592,0.592,0.592,0.592,0.682,0.674,0.682,0.666,0.62,0.692,0.637,0.674,0.66,0.627,0.642,0.843,0.848,0.955,1.0,0.953
capture_20250128_030256,0.597,0.52,0.52,0.541,0.541,0.541,0.541,0.541,0.541,0.626,0.621,0.626,0.603,0.53,0.631,0.569,0.613,0.619,0.601,0.609,0.798,0.802,0.888,0.953,1.0
